title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
보리밭을 흔드는 바람,THE WIND THAT SHAKES THE BARLEY,2019,"드라마,전쟁","킬리언 머피(데미엔(동생)),패드레익 들러니(테디(형)),리암 커닝햄(댄)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019720.jpg
도라와 잃어버린 황금의 도시,DORA AND THE LOST CITY OF GOLD,2019,"어드벤처,가족","이사벨라 모너(도라),에바 롱고리아(엘레나),마이클 페나",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019719.jpg
언컷 젬스,UNCUT GEMS,2019,"코메디,범죄,드라마,미스터리,스릴러","아담 샌들러(하워드 래트너),폼 클레멘티에프(렉서스),키스 스탠필드(드매니)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019718.jpg
더 라스트 블랙 맨 인 샌프란시스코,THE LAST BLACK MAN IN SAN FRANCISCO,2019,드라마,"지미 페일스,조나단 메이저스,롭 모건",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019717.jpg
내 몸이 사라졌다,I LOST MY BODY,2019,드라마,"하킴 파리스(나오펠 목소리),빅투아르 뒤 부아(가브리엘 목소리),파트리크 다쉼사오",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019716.jpg
애틀란틱스,ATLANTICS,2019,드라마,"이브라히마 음바예(무스타파),압두 발데(셰이크),마메 비네타 사네",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019715.jpg
좀비파이터,ZOMBIE FIGHTER (JOMBIPAITEO),2019,"드라마,액션,가족,스포츠,공포","하준호(베인),김단미(예지),전현경(사라)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015316.jpg
미드웨이,MIDWAY,2019,"액션,드라마,전쟁","에드 스크레인(딕 베스트),패트릭 윌슨(에드윈 레이튼),루크 에반스(웨이드 맥클러스키)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019714.jpg
프린스 코기,THE QUEEN'S CORGI,2019,"코메디,가족","심규혁(렉스 목소리),김리흔(아기 렉스 목소리),엄상현(잭 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/39/TN_DPF019532.jpg
할머니의 고양이 그리고 522걸음의 여행,"522. A CAT, A CHINESE GUY AND MY FATHER",2019,"드라마,어드벤처,가족","나탈리아 드 몰리나(조지),알베르토 조 리,나디아 드 산티아고",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019701.jpg
리틀 큐,LITTLE Q,2019,드라마,"임달화,양영기,나중겸",http://file.koreafilm.or.kr/thm/02/00/05/39/TN_DPF019521.jpg
은지: 돌이킬 수 없는 그녀,EUN JI (EUNJI: DORIKIL SU EOMNEUN GEUNYEO),2019,"미스터리,스릴러","김유연(은지),김진근(용태),백승철(윤길)",http://file.koreafilm.or.kr/thm/02/00/05/39/TN_DPK015231.jpg
부니베어: 원시시대 대모험,BOONIE BEARS : BLAST INTO THE PAST,2019,"코메디,어드벤처","장위,장병군,담소",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019699.jpg
소림사: 무림퇴마전,MR.ZOMBIE 3,2019,"무협,코메디,액션,판타지","전소호,손호,맹지초",http://file.koreafilm.or.kr/thm/02/00/05/36/TN_DPF019353.jpg
